Timestamp,Date,Ethereum,Arbitrum,Optimism,zkSync Era,Kava,Kava,BSC,Avalanche,Polygon,Fantom,Osmosis,Solana,Axelar,Gnosis,Taiko,Stride,Injective,Rootstock,Polygon zkEVM,Mode,Moonbeam,Cronos,Kujira,Celo,Metis,Secret,Merlin,Terra Classic,Aurora,Arbitrum Nova,X Layer,Bitlayer,Evmos,Juno,BSquared,Canto,Astar,ShimmerEVM,Sifchain,Boba,KCC,Moonriver,Zkfair,XDC,Klaytn,Bitcoin,Telos,Wanchain,ThunderCore,Fuse
1686484800,2023-06-11,29821175,-14123212,-4946444,-8780224,0,0,183729,3843355,-9169199,139923,0,0,0,31927,0,0,0,0,203560,0,0,0,0,0,0,0,0,0,-279863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1686571200,2023-06-12,-5713578,-1088175,-4061568,-16614717,0,0,-1500936,1748859,21732296,645217,0,0,0,-39969,0,0,0,0,-249421,0,0,0,0,0,0,0,0,0,220716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1686657600,2023-06-13,40296978,-27517555,-5364159,-9024800,0,0,3157424,-475775,-2701255,-59375,0,0,0,112695,0,0,0,0,-1679297,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1686744000,2023-06-14,62423854,-24612480,-6214229,-15298220,0,0,-1093991,3303740,-17637861,13755,0,0,0,388837,0,0,0,0,-856310,0,0,0,0,0,0,0,0,0,-52765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1686830400,2023-06-15,20078756,-4398673,-2416894,-10294840,0,0,-3056067,-1154424,7951572,-14645,0,0,0,-742466,0,0,0,0,-538847,0,0,0,0,0,0,0,0,0,-1299011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1686916800,2023-06-16,22760734,-14844622,-5694609,-6586145,0,0,1458646,-3172224,-4326267,-25276,0,0,0,7671,0,0,0,0,38973,0,0,0,0,0,0,0,0,0,-79650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687003200,2023-06-17,-38766256,10282182,828884,-3678766,0,0,12994214,-830863,16019575,-9478,0,0,0,15651,0,0,0,0,-16044,0,0,0,0,0,0,0,0,0,311758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687089600,2023-06-18,10900349,-8724220,-900163,-9155878,0,0,1691721,-883933,3851595,-10171,0,0,0,145793,0,0,0,0,-902771,0,0,0,0,0,0,0,0,0,51770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687176000,2023-06-19,1520702,-5324408,-3437182,-6951171,0,0,-493282,-1438148,6620661,-11741,0,0,0,196337,0,0,0,0,-1553243,0,0,0,0,0,0,0,0,0,358270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
1687262400,2023-06-20,-13365842,20046196,-2246634,-7968522,0,0,-2493979,5956891,1878189,8313,0,0,0,249909,0,0,0,0,-453240,0,0,0,0,0,0,0,0,0,-2031176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
